No. string              int     double  
----------------------------------------
 1) academy             43      -9.9    
 2) alcohol             257     -9.72   
 3) announcement        562     -9.55   
 4) art                 630     -8.68   
 5) back                755     -8.32   
 6) breakfast           1084    -8.26   
 7) compete             1368    -7.64   
 8) confront            1398    -7.41   
 9) cow                 1460    -7.07   
10) drop                1491    -5.41   
11) ego                 1891    -4.06   
12) exile               2405    -3.27   
13) flower              2441    -2.96   
14) humanity            2462    -2.55   
15) icecream            2841    -1.91   
16) jealous             2853    -1.63   
17) mail                2877    -0.99   
18) mutual              3090    -0.91   
19) pill                3527    -0.55   
20) poison              3533    1.01    
21) retreat             3894    1.25    
22) rock                3919    2.9     
23) spider              3981    3.25    
24) stable              4006    3.73    
25) sweep               4150    4.98    
26) theorist            4705    5.04    
27) title               4727    5.92    
28) unit                4801    6.95    
29) week                4861    7.51    
30) write               4991    9.21    
----------------------------------------
No. Thread string              int     double  
---------------------------------------------
 1)      1 academy             43      -9.9    
 2)     24 stable              4006    3.73    
 3)     22 rock                3919    2.9     
 4)     11 ego                 1891    -4.06   
 5)     26 theorist            4705    5.04    
 6)     12 exile               2405    -3.27   
 7)     18 mutual              3090    -0.91   
 8)     27 title               4727    5.92    
 9)     25 sweep               4150    4.98    
10)      6 breakfast           1084    -8.26   
11)     23 spider              3981    3.25    
12)     17 mail                2877    -0.99   
13)     20 poison              3533    1.01    
14)      5 back                755     -8.32   
15)     19 pill                3527    -0.55   
16)     14 humanity            2462    -2.55   
17)     29 week                4861    7.51    
18)     13 flower              2441    -2.96   
19)      8 confront            1398    -7.41   
20)      7 compete             1368    -7.64   
21)      2 alcohol             257     -9.72   
22)     28 unit                4801    6.95    
23)     30 write               4991    9.21    
24)     21 retreat             3894    1.25    
25)     16 jealous             2853    -1.63   
26)     15 icecream            2841    -1.91   
27)     10 drop                1491    -5.41   
28)      9 cow                 1460    -7.07   
29)      4 art                 630     -8.68   
30)      3 announcement        562     -9.55   
---------------------------------------------
