7
Ford,Laser,1987,85940.98
Mercedes-Benz,SL-Class,1990,94446.2
Volvo,240,1992,35786.97
Toyota,Supra,1993,22201.86
Buick,Regal,1997,5356.26
Plymouth,Grand Voyager,1997,33220.09
Mercury,Villager,1997,95108.88
5
Nissan,Altima,1998,17204.36
Lincoln,Town Car,1999,55503.53
Saab,9-5,2000,92896.32
Ford,Crown Victoria,2001,84710.62
Toyota,Sequoia,2001,78808.04
6
Isuzu,Rodeo,2003,43238.02
Audi,S6,2003,43569.43
Audi,Allroad,2005,58752.73
Toyota,Celica,2005,9694.95
Chevrolet,Express 3500,2005,71579.16
Cadillac,CTS-V,2006,38116.73
3
Maserati,Quattroporte,2006,14687.21
Mazda,CX-7,2007,70610.79
Toyota,Tacoma,2007,9602.77
5
MINI,Clubman,2008,51218.74
Volvo,S40,2009,59327.06
Dodge,Ram 3500,2010,73448.15
Kia,Rondo,2010,31902.79
Cadillac,STS,2010,61325.46
2
Toyota,Venza,2011,44882.01
Volkswagen,GTI,2011,96871.97
2
Chevrolet,Cruze,2012,31623.96
GMC,Yukon XL 1500,2013,41583.91
