7
Ford,Laser,1987,85940.98
MINI,Clubman,2008,51218.74
Buick,Regal,1997,5356.26
Toyota,Tacoma,2007,9602.77
Kia,Rondo,2010,31902.79
Plymouth,Grand Voyager,1997,33220.09
Mercury,Villager,1997,95108.88
3
Maserati,Quattroporte,2006,14687.21
Saab,9-5,2000,92896.32
Ford,Crown Victoria,2001,84710.62
3
2004,2
2012,4
1972,2
5
2011,2
1997,3
2000,1
1999,1
2001,2
6
2004,10
2012,5
1972,20
2013,1
2006,3
2010,4
7
2004,10
2012,5
1972,20
2006,4
1998,2
2009,2
2003,2
7
1987,1
1990,1
1992,1
1993,1
2005,4
2007,2
2008,1
