13
Mazda B-Series 1986 99468.22
Alfa-Romeo Spider 1994 17489.27
GMC Savana 2008 17973.92
Mercedes-Benz 600SL 1993 59401.34
Toyota Land-Cruiser 1993 8456.74
Mitsubishi Truck 1988 53495.35
Ford Laser 1987 85940.98
MINI Clubman 2008 51218.74
Buick Regal 1997 5356.26
Toyota Tacoma 2007 9602.77
Kia Rondo 2010 31902.79
Plymouth Grand-Voyager 1997 33220.09
Mercury Villager 1997 95108.88
11
Nissan Altima 1998 17204.36
Lincoln Town-Car 1999 55503.53
Mazda CX-7 2007 70610.79
Volkswagen GTI 2011 96871.97
Toyota Supra 1993 22201.86
Isuzu Rodeo 2003 43238.02
Audi S6 2003 43569.43
Audi Allroad 2005 58752.73
Toyota Celica 2005 9694.95
Chevrolet Express-3500 2005 71579.16
Cadillac CTS-V 2006 38116.73
12
Maserati Quattroporte 2006 14687.21
Saab 9-5 2000 92896.32
Ford Crown-Victoria 2001 84710.62
Volvo S40 2010 59327.06
Mercedes-Benz SL-Class 1990 94446.2
Volvo 240 1992 35786.97
Dodge Ram-3500 2010 73448.15
Cadillac STS 2010 61325.46
Toyota Venza 2011 44882.01
Chevrolet Cruze 2012 31623.96
Toyota Sequoia 2001 78808.04
GMC Yukon-XL-1500 2013 41583.91
22
Bentley Continental 2012 10116.71
Acura Legend 1994 96165.09
Maybach 62 2009 62514.16
Land-Rover Discovery 2012 62205.43
Subaru Legacy 1992 6001.77
Porsche Boxster 1998 65951.61
Chevrolet Sportvan-G30 1995 92969.32
Lexus GX 2007 6940.21
Dodge Challenger 2010 25304.73
Chrysler Crossfire 2008 30998.44
Toyota Ipsum 2000 74333.6
Land-Rover Range-Rover-Sport 2008 77909.41
Volkswagen Jetta 2007 6374.14
Volvo S80 2003 11063.31
Dodge Caravan 1999 771.29
Mitsubishi Lancer 2007 99113.67
GMC Rally-Wagon-2500 1994 71868.72
Land-Rover Discovery 2008 72272.74
Nissan 350Z-Roadster 2006 30725.46
Toyota Xtra 1992 66090.6
Chevrolet Camaro 1997 77223.11
Jaguar S-Type 2002 97468.14
18
Saturn S-Series 2000 57253.32
Honda Odyssey 2007 98815.07
Lexus GS 2005 68025.17
GMC Yukon-XL-1500 2010 12955.3
Kia Forte 2010 32906.07
Chevrolet Silverado-3500 2003 44328.09
Mazda B-Series 1986 76145.17
Volvo S40 2010 10498.7
Volkswagen R32 2009 54184.49
Pontiac Firebird 1987 51472.17
Mercury Sable 2000 33670.41
Lexus LS 1991 13032.77
Mercedes-Benz M-Class 1998 59373.06
Mazda B-Series 1986 2308.52
Infiniti QX 2000 13992.89
Buick Regal 1992 91304.09
Volkswagen Golf 2010 99674.17
Mitsubishi GTO 1991 62270.71
