Nr. Gamintojas     Modelis             Metai     Kaina
------------------------------------------------------
  1 Mazda          B-Series             1986  99468.22
  2 Alfa-Romeo     Spider               1994  17489.27
  3 GMC            Savana               2008  17973.92
  4 Mercedes-Benz  600SL                1993  59401.34
  5 Toyota         Land-Cruiser         1993   8456.74
  6 Mitsubishi     Truck                1988  53495.35
  7 Ford           Laser                1987  85940.98
  8 MINI           Clubman              2008  51218.74
  9 Buick          Regal                1997   5356.26
 10 Toyota         Tacoma               2007   9602.77
 11 Kia            Rondo                2010  31902.79
 12 Plymouth       Grand-Voyager        1997  33220.09
 13 Mercury        Villager             1997  95108.88
------------------------------------------------------
  1 Nissan         Altima               1998  17204.36
  2 Lincoln        Town-Car             1999  55503.53
  3 Mazda          CX-7                 2007  70610.79
  4 Volkswagen     GTI                  2011  96871.97
  5 Toyota         Supra                1993  22201.86
  6 Isuzu          Rodeo                2003  43238.02
  7 Audi           S6                   2003  43569.43
  8 Audi           Allroad              2005  58752.73
  9 Toyota         Celica               2005   9694.95
 10 Chevrolet      Express-3500         2005  71579.16
 11 Cadillac       CTS-V                2006  38116.73
------------------------------------------------------
  1 Maserati       Quattroporte         2006  14687.21
  2 Saab           9-5                  2000  92896.32
  3 Ford           Crown-Victoria       2001  84710.62
  4 Volvo          S40                  2010  59327.06
  5 Mercedes-Benz  SL-Class             1990  94446.20
  6 Volvo          240                  1992  35786.97
  7 Dodge          Ram-3500             2010  73448.15
  8 Cadillac       STS                  2010  61325.46
  9 Toyota         Venza                2011  44882.01
 10 Chevrolet      Cruze                2012  31623.96
 11 Toyota         Sequoia              2001  78808.04
 12 GMC            Yukon-XL-1500        2013  41583.91
------------------------------------------------------
  1 Bentley        Continental          2012  10116.71
  2 Acura          Legend               1994  96165.09
  3 Maybach        62                   2009  62514.16
  4 Land-Rover     Discovery            2012  62205.43
  5 Subaru         Legacy               1992   6001.77
  6 Porsche        Boxster              1998  65951.61
  7 Chevrolet      Sportvan-G30         1995  92969.32
  8 Lexus          GX                   2007   6940.21
  9 Dodge          Challenger           2010  25304.73
 10 Chrysler       Crossfire            2008  30998.44
 11 Toyota         Ipsum                2000  74333.60
 12 Land-Rover     Range-Rover-Sport    2008  77909.41
 13 Volkswagen     Jetta                2007   6374.14
 14 Volvo          S80                  2003  11063.31
